Algorithm,Size,Trial,Time_ns
InsertionSort,100,1,51700
SelectionSort,100,1,74600
MergeSort,100,1,52400
QuickSort,100,1,26100
InsertionSort,100,2,42000
SelectionSort,100,2,72000
MergeSort,100,2,48700
QuickSort,100,2,24400
InsertionSort,100,3,42300
SelectionSort,100,3,71900
MergeSort,100,3,30800
QuickSort,100,3,24100
InsertionSort,1000,1,1498700
SelectionSort,1000,1,1961100
MergeSort,1000,1,265600
QuickSort,1000,1,168200
InsertionSort,1000,2,5618200
SelectionSort,1000,2,547200
MergeSort,1000,2,149600
QuickSort,1000,2,73700
InsertionSort,1000,3,3794400
SelectionSort,1000,3,287800
MergeSort,1000,3,135900
QuickSort,1000,3,78200
InsertionSort,5000,1,7082900
SelectionSort,5000,1,7234100
MergeSort,5000,1,584200
QuickSort,5000,1,466400
InsertionSort,5000,2,12428400
SelectionSort,5000,2,11411700
MergeSort,5000,2,732600
QuickSort,5000,2,360600
InsertionSort,5000,3,1579300
SelectionSort,5000,3,6076500
MergeSort,5000,3,594300
QuickSort,5000,3,292400
InsertionSort,10000,1,9984300
SelectionSort,10000,1,27025600
MergeSort,10000,1,1193600
QuickSort,10000,1,595200
InsertionSort,10000,2,6285200
SelectionSort,10000,2,24544200
MergeSort,10000,2,1099000
QuickSort,10000,2,583300
InsertionSort,10000,3,6130200
SelectionSort,10000,3,23792200
MergeSort,10000,3,1102200
QuickSort,10000,3,582200
